GEOID,pop,white,NAME
06001,1661584,631037,"Alameda County, California"
06003,1159,663,"Alpine County, California"
06005,39023,33040,"Amador County, California"
06007,223344,178568,"Butte County, California"
06009,45828,40058,"Calaveras County, California"
06011,21491,17012,"Colusa County, California"
06013,1147788,608789,"Contra Costa County, California"
06015,27692,20002,"Del Norte County, California"
06017,190345,164552,"El Dorado County, California"
06019,990204,597574,"Fresno County, California"
06021,28060,22478,"Glenn County, California"
06023,136101,107151,"Humboldt County, California"
06025,180580,102305,"Imperial County, California"
06027,17930,13705,"Inyo County, California"
06029,892458,603368,"Kern County, California"
06031,151090,95764,"Kings County, California"
06033,64276,48712,"Lake County, California"
06035,30600,24181,"Lassen County, California"
06037,10040682,4795186,"Los Angeles County, California"
06039,155925,94643,"Madera County, California"
06041,259441,199068,"Marin County, California"
06043,17319,15134,"Mariposa County, California"
06045,87110,69709,"Mendocino County, California"
06047,273661,139469,"Merced County, California"
06049,8853,7801,"Modoc County, California"
06051,14395,11966,"Mono County, California"
06053,432977,209849,"Monterey County, California"
06055,138572,98614,"Napa County, California"
06057,99417,91597,"Nevada County, California"
06059,3170345,1826960,"Orange County, California"
06061,391799,314938,"Placer County, California"
06063,18844,16679,"Plumas County, California"
06065,2437864,1358654,"Riverside County, California"
06067,1537948,839349,"Sacramento County, California"
06069,61547,45157,"San Benito County, California"
06071,2162532,1212480,"San Bernardino County, California"
06073,3323970,2213608,"San Diego County, California"
06075,874784,392476,"San Francisco County, California"
06077,751615,387165,"San Joaquin County, California"
06079,282517,233297,"San Luis Obispo County, California"
06081,765623,369924,"San Mateo County, California"
06083,444895,319547,"Santa Barbara County, California"
06085,1924379,801381,"Santa Clara County, California"
06087,273170,195781,"Santa Cruz County, California"
06089,179267,152586,"Shasta County, California"
06091,2898,2722,"Sierra County, California"
06093,43516,36195,"Siskiyou County, California"
06095,444538,225258,"Solano County, California"
06097,496801,360200,"Sonoma County, California"
06099,546235,384703,"Stanislaus County, California"
06101,96315,61307,"Sutter County, California"
06103,64176,53987,"Tehama County, California"
06105,12541,10694,"Trinity County, California"
06107,463955,309798,"Tulare County, California"
06109,54147,46905,"Tuolumne County, California"
06111,845599,637686,"Ventura County, California"
06113,218774,145299,"Yolo County, California"
06115,77524,56990,"Yuba County, California"
